"library","batch","total_reads","gc_content","q30_rate","human_rate","rRNA_rate","contamination_rate","error_rate","bias","insertsize","exonic","intronic","intergenic","type"
"Y1_1_a_1","Y",36932218,49.5,0.944332,99.05085164,0.055,0.34,0.01,1,289,0.487889097824364,0.461980365928681,0.0501305362469545,"a"
"Y1_10_d_2","Y",45096357,46.5,0.941213,98.9268607,0.065,0.36,0.01,0.99,305,0.426123358784451,0.525170889821233,0.0487057513943155,"d"
"Y1_11_e_2","Y",43463863,48.5,0.943881,99.09487591,0.075,0.55,0.01,1.01,295,0.467457591903381,0.47424870075286,0.0582937073437589,"e"
"Y1_12_f_2","Y",45239219,46.5,0.944577,98.64990878,0.09,0.965,0.01,0.98,301,0.465165625567945,0.480990995228628,0.0538433792034268,"f"
"Y1_13_a_3","Y",44812846,48.5,0.944682,98.98509996,0.28,0.425,0.01,0.96,293,0.483442663112853,0.469017601662777,0.0475397352243706,"a"
"Y1_14_b_3","Y",38333474,47,0.94748,98.87674655,0.23,0.39,0.01,0.98,292,0.449832646079307,0.500210536249265,0.0499568176714273,"b"
"Y1_15_c_3","Y",46821081,47.5,0.941948,98.90447912,0.205,0.43,0.01,1.03,298,0.434743396289769,0.513235925207894,0.0520206785023365,"c"
"Y1_16_d_3","Y",42384450,46.5,0.947129,98.98928691,0.22,0.355,0.01,0.96,302,0.4135004899521,0.534070818937234,0.052428691110666,"d"
"Y1_17_e_3","Y",43694265,48.5,0.943571,99.11742036,0.055,0.475,0.01,1.04,296,0.475121298266703,0.466310498871002,0.0585682028622947,"e"
"Y1_18_f_3","Y",51070777,47.5,0.946034,98.60627666,0.06,0.765,0.01,0.98,291,0.481421855743013,0.466008032574046,0.0525701116829404,"f"
"Y1_2_b_1","Y",45359493,47.5,0.944553,98.87665255,0.075,0.29,0.01,1.01,298,0.448963703776385,0.502390792283244,0.0486455039403717,"b"
"Y1_3_c_1","Y",48612867,47.5,0.944336,98.84792296,0.075,0.34,0.01,0.98,295,0.436040788611033,0.514264657675377,0.04969455371359,"c"
"Y1_4_d_1","Y",42063603,47.5,0.944893,98.94902822,0.08,0.305,0.01,0.98,294,0.432408833572166,0.516878923144771,0.0507122432830627,"d"
"Y1_5_e_1","Y",53453208,48.5,0.945054,99.08958427,0.045,0.555,0.01,1.03,293,0.466225226833089,0.472865878379737,0.0609088947871737,"e"
"Y1_6_f_1","Y",49199358,47,0.950161,98.59408364,0.075,0.995,0.01,1.01,282,0.471891514683452,0.473745067154238,0.0543634181623096,"f"
"Y1_7_a_2","Y",43882296,48.5,0.944807,99.05473107,0.145,0.42,0.01,1,294,0.476261922158506,0.469763056406294,0.0539750214351992,"a"
"Y1_8_b_2","Y",43871070,48,0.942118,98.87411695,0.215,0.3,0.01,0.99,291,0.448545568094627,0.496496763200855,0.0549576687045182,"b"
"Y1_9_c_2","Y",42738212,46,0.943819,98.88713463,0.045,0.395,0.01,1,300,0.424883064335708,0.526254905642527,0.0488620300217647,"c"
"Y2_1_a_1","Y",37887708,47,0.943124,99.0241275,0.23,0.415,0.01,1,283,0.460306428024654,0.490592625394609,0.049100946580737,"a"
"Y2_10_d_2","Y",39673224,45.5,0.940796,98.98166107,0.1,0.33,0.01,0.96,290,0.412897271515406,0.538203428173622,0.0488993003109714,"d"
"Y2_11_e_2","Y",41334933,47.5,0.94333,99.12468245,0.075,0.54,0.01,1.04,286,0.462630608239845,0.479400522249652,0.0579688695105026,"e"
"Y2_12_f_2","Y",39541939,45,0.943361,98.55550684,0.03,1,0.01,1.01,290,0.448384497647458,0.497290669935432,0.0543248324171108,"f"
"Y2_13_a_3","Y",34616737,46.5,0.940004,98.93539608,0.06,0.365,0.01,0.98,282,0.465505884430232,0.487921733848982,0.0465723817207861,"a"
"Y2_14_b_3","Y",36142888,46,0.945909,98.92052981,0.055,0.31,0.01,1,265,0.44557984716503,0.504815446985018,0.0496047058499528,"b"
"Y2_15_c_3","Y",45337237,46.5,0.937979,98.8799576,0.095,0.35,0.01,0.94,283,0.425208907712871,0.523059144386564,0.0517319479005648,"c"
